Symbol Name,Reference,Footprint,Description,Datasheet,Keywords,fp filters,Kicad extends,text,in bom,on board,hide pin numbers,pin name offset,hide pin names,min width,min height,w padding,h padding,text font size,h r/v gap,w r/v gap,text gap
,PIN Category,PIN number,PIN name,pin EL Type,PIN gr type,pin length,pin stacked,pin hidden,name font size,number font size,,,,,,,,,,,
#1 pin 3,,,,,,,,,,,,,,,,,,,,,
SYM1,,,,,,,,A,,,,,,,,,,,,,
,left,1,,input,,2,,,,,,,,,,,,,,,
,right,2,,output,,,,,,,,,,,,,,,,,
,right,3,,output,,,,,,,,,,,,,,,,,
,,4,,,,,,,,,,,,,,,,,,,
#2 pin 1,,,,,,,,,,,,,,,,,,,,,
SYM2,,,,,,,,AB,,,,,,,,,,,,,
,left,1,,bidirectional,,1,,,,,,,,,,,,,,,
,,2,,input,,,,,,,,,,,,,,,,,
,right,3,,output,,,,,,,,,,,,,,,,,
#1 pin 3,top/buttom,,,,,,,,,,,,,,,,,,,,
SYM3,,,,,,,,ABC,,,,,,,,,,,,,
,top,1,VCC,power_in,,2,,,,,,,,,,,,,,,
,bottom,2,GND,power_in,,1,,,30,30,,,,,,,,,,,
,,3,GND,,,,,,,,,,,,,,,,,,
,,4,GND,,,,,,,,,,,,,,,,,,
SYM3a,,,,,,,,ABCa,,,,,,,,,,,,,
,bottom,2,GND,power_in,,1,,,30,30,,,,,,,,,,,
,,3,GND,,,,,,,,,,,,,,,,,,
,,4,GND,,,,,,,,,,,,,,,,,,
#2 pin 1,top/bottom,,,,,,,,,,,,,,,,,,,,
SYM4,,,,,,,,ABCD,,,,,,,,,,,,,
,bottom,1,,power_in,,,,,,,,,,,,,,,,,
,top,2,,,,,,,,,,,,,,,,,,,
,,3,,,,,,,,,,,,,,,,,,,
#1 pin 8,,,,,,,,,,,,,,,,,,,,,
SYM5,,,,,,,,SYM5,,,,,,,,,,,,,
,left,1,~{IN},input,inverted,,,,,,,,,,,,,,,,
,right,2,O1,output,line,,,,,,,,,,,,,,,,
,,3,O2,,,,,,,,,,,,,,,,,,
,,4,O3,,,,,,,,,,,,,,,,,,
,,5,O4,,,,,,,,,,,,,,,,,,
,,6,O5,,,,,,,,,,,,,,,,,,
,,7,O6,,,,,,,,,,,,,,,,,,
,,8,O7,,,,,,,,,,,,,,,,,,
,,9,O8,,,,,,,,,,,,,,,,,,
SYMZ,,,,,,,,Z,,,,,,0,0,0.25,0.25,20,0.5,0.5,
,left,1,nam,input,,0.75,false,false,20,20,,,,,,,,,,,
# 7 Symbols,generated,,,,,,,,,,,,,,,,,,,,
